,x_count,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,x_median,x_variance,x_covariance,x_kurtosis,x_skewness,y_count,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,y_median,y_variance,y_covariance,y_kurtosis,y_skewness
A00003_close_2021Y04M22D14H12m,6000.0,-21.669825000000042,4.286081043163724,-34.7,-24.3,-21.4,-18.9,-3.1,-21.4,18.370490708567175,-5.786361018734604,0.48200060893235097,-0.1290872444418191,6000.0,-12.327750000000039,5.1225512241973625,-27.4,-16.4,-12.0,-8.1,3.4,-12.0,26.24053104452593,-5.786361018734604,-0.6620130118944929,-0.04312306033557104
A00003_close_2021Y04M26D14H52m,6000.0,16.726983333333337,4.2359851268295685,4.0,13.8,16.7,19.6,30.8,16.7,17.94356999472134,3.319046678890925,0.04518809559055148,-0.019035994158384563,6000.0,8.848933333333365,4.111482367948492,-6.1,6.2,9.0,11.7,20.3,9.0,16.90428726195107,3.319046678890925,0.003446031335148092,-0.2436200348686959
A00003_open_2021Y02M16D10H40m,6000.0,1.3201000000000038,2.9206181123795725,-5.7,-0.7,1.3,3.3,12.4,1.3,8.530010158359724,0.3833580613435577,-0.2513414269861691,0.1874730742647757,6000.0,-19.48418333333331,3.6883740342990916,-29.8,-21.9,-19.3,-16.8,-9.3,-19.3,13.604103016891703,0.3833580613435577,-0.3870649921526397,-0.18941468494389757
A00003_open_2021Y02M26D20H12m,6000.0,-18.72623333333334,3.9802578199827696,-34.0,-21.2,-18.5,-16.4,-6.7,-18.5,15.842452313533741,-7.637506734918782,0.505234773126785,-0.15548473271222696,6000.0,-28.368541666666644,3.7975928122585154,-38.8,-31.1,-28.5,-25.5,-18.8,-28.5,14.421711167717765,-7.637506734918782,-0.5444769339295883,0.03847076536531147
A00003_open_2021Y04M15D14H29m,6000.0,-3.758416666666659,2.7381647765194637,-10.5,-5.7,-4.1,-2.0,6.1,-4.1,7.497546343372042,-0.6635953198218218,0.047421446370953024,0.46479571889184695,6000.0,-10.451924999999985,3.4864079539666952,-21.9,-12.8,-10.4,-8.0,1.2,-10.4,12.155040421482285,-0.6635953198218218,0.013819310378787364,-0.1396093667851763
A00003_open_2021Y04M15D18H47m,6000.0,-9.931808333333333,3.6877365750242665,-20.0,-12.5,-10.6,-7.3,1.8,-10.6,13.599401046771685,5.91639523087181,-0.09963793114311637,0.4103204577022604,6000.0,-29.663933333333407,5.727591762244941,-47.7,-32.9,-29.4,-25.4,-15.6,-29.4,32.80530739493619,5.91639523087181,0.014749198337769442,-0.43424816990342
A00003_open_2021Y04M19D14H47m,6000.0,-16.38632333333339,2.8385932724662584,-23.7,-18.0,-16.1,-14.8,-6.2,-16.1,8.057611766490709,-1.7113289687707207,0.32602518310204154,0.028213804062594935,6000.0,-34.51736499999992,2.8273599745780267,-43.4,-36.2,-34.6,-32.9,-22.8,-34.6,7.993964425845974,-1.7113289687707207,1.0332474613949554,0.14769616258794704
A00003_open_2021Y04M20D18H16m,6000.0,-17.469383333333308,3.006530791188188,-24.2,-19.6,-17.7,-15.575,-8.0,-17.7,9.039227398362687,0.06819136768165107,-0.19203088593169815,0.3250160575849359,6000.0,-34.24435833333341,2.9141872354989897,-44.9,-36.0,-34.2,-32.5,-24.4,-34.2,8.49248724354522,0.06819136768165107,0.6403167501549545,0.1585964175412326
A00003_open_2021Y04M22D14H13m,6000.0,-19.46545833333332,3.9486470989053513,-37.0,-21.5,-19.4,-17.2,-4.2,-19.4,15.591813911693608,2.2654207439665854,2.302361665340591,-0.2191044564085514,6000.0,-25.30554999999993,3.7131239269168117,-44.3,-27.2,-25.4,-23.2,-15.9,-25.4,13.787289296642031,2.2654207439665854,2.562608491701959,-0.6239582669733332
A00003_open_2021Y04M26D14H53m,6000.0,12.68061666666667,2.8410576276013404,4.4,10.9,12.9,14.5,22.1,12.9,8.07160844335167,-1.5011669394899156,0.2353932101618832,-0.0720684381483322,6000.0,-5.441899999999978,4.1160318280679355,-15.5,-8.7,-4.9,-1.9,3.5,-4.9,16.941718009668282,-1.5011669394899156,-0.9398275557852882,-0.237171857791664
A00004_close_2021Y02M15D18H18m,6000.0,-3.423249999999993,7.009523997767551,-24.0,-8.1,-3.8,0.6,18.1,-3.8,49.13342667527922,2.510579842473743,0.2986943077790136,0.31744745272257074,6000.0,-20.316283333333352,6.2068564129364905,-37.5,-24.3,-21.2,-16.2,-1.1,-21.2,38.5250665308107,2.510579842473743,0.07008293582361702,0.19364724136220077
A00004_close_2021Y02M26D20H10m,6000.0,-8.361808333333332,6.5259151139598375,-25.6,-12.5,-8.5,-4.0,12.5,-8.5,42.58756807460965,-14.797839883383341,0.012333458321990065,-0.02893345864449938,6000.0,-25.902208333333274,10.401534223002637,-51.9,-32.8,-24.8,-17.8,-5.5,-24.8,108.19191419229593,-14.797839883383341,-0.5993004055653999,-0.3564163878193211
A00004_close_2021Y03M08D18H28m,6000.0,-4.291108333333338,6.198559917091345,-24.1,-7.6,-3.7,0.0,14.7,-3.7,38.422145045771515,-3.381297628771463,0.541526285609431,-0.5455578169960824,6000.0,-13.931499999999927,7.597595671877547,-35.7,-19.3,-13.9,-8.2,5.2,-13.9,57.72345999333222,-3.381297628771463,-0.37522179662337773,-0.10136924192138935
A00004_close_2021Y03M17D18H22m,6000.0,-0.0968749999999998,5.7025432616494545,-17.6,-3.7,0.0,3.4,16.0,0.0,32.518999650983496,8.821087134314052,0.24704973753119885,-0.12194759130650118,6000.0,-14.696758333333339,7.388191025957346,-38.8,-19.7,-15.6,-9.1,6.1,-15.6,54.585366636036554,8.821087134314052,-0.12284778416994291,0.0802305299309602
A00004_close_2021Y04M15D10H27m,6000.0,-1.9435416666666692,6.504381020609625,-19.6,-6.3,-2.2,2.6,17.6,-2.2,42.306972461266696,-0.5668546401252065,-0.04887934293937901,0.04908394737159355,6000.0,-39.63709999999983,6.872353095844043,-65.4,-43.9,-39.5,-35.2,-20.4,-39.5,47.22923707395676,-0.5668546401252065,0.7248678826340305,-0.20781755113335434
A00004_close_2021Y04M15D18H45m,6000.0,-6.86503333333336,5.427336141031433,-25.9,-10.3,-7.0,-3.2,14.8,-7.0,29.455977587746105,-0.3328363972699135,0.6985933464694813,0.0781065258053887,6000.0,-26.96454166666649,6.961485572337524,-40.5,-32.2,-27.3,-22.8,-7.3,-27.3,48.46228137386321,-0.3328363972699135,-0.2649512953556439,0.43232923237510806
